model,rank,feature,feature_label,importance_mean,importance_std,shap_mean_signed
Logistic Regression,95,tag__junior,Tag: junior,0.008746606611222167,0.014118974661593437,0.0025133927043741807
Logistic Regression,96,title__technical,Title term: technical,0.008727233997743765,0.02972987873893273,-0.0009872436649031443
Logistic Regression,97,tag__mobile,Tag: mobile,0.00869659359769187,0.018000801479951745,0.004102166791364102
Logistic Regression,98,title__content,Title term: content,0.008508521893030321,0.0667254756855043,-0.008508521893030321
Logistic Regression,99,tag__recruitment,Tag: recruitment,0.008402537236281595,0.019699971132221415,0.00041762113500405456
Logistic Regression,100,tag__ui,Tag: ui,0.008252055139018097,0.014755704726640308,-0.002160223858381683
Logistic Regression,101,tag__cloud,Tag: cloud,0.008088927594326162,0.007928488376948387,-6.379280437165805e-05
Logistic Regression,102,tag__test,Tag: test,0.007771843657216417,0.014390644526397572,0.0002672573472220219
Logistic Regression,103,location__united_states,Location: united states,0.007331106059564453,0.0042295520020778216,0.00027890077400516834
Logistic Regression,104,title__systems,Title term: systems,0.006481417668323664,0.028801593329153424,-0.002793714512208448
Logistic Regression,105,title__account,Title term: account,0.006468743468800637,0.014929941278796158,0.0011804276402920758
Logistic Regression,106,location__canada,Location: canada,0.0062709969702776725,0.01726688301212302,-0.0002226916537740614
Logistic Regression,107,tag__node,Tag: node,0.00612797790214871,0.014289201928512648,0.0007059882375747351
Logistic Regression,108,location__germany,Location: germany,0.006127490647835005,2.5153490401663703e-17,0.006127490647835005
Logistic Regression,109,title__executive,Title term: executive,0.005990087775885442,0.02680314660358466,-0.0025018266367063335
Logistic Regression,110,tag__content,Tag: content,0.005932787949319817,0.011792315114409131,0.001606009476726706
Logistic Regression,111,tag__recruiting,Tag: recruiting,0.005647534876251625,0.013240795119594785,-0.00028069258828288267
Logistic Regression,112,title__rails,Title term: rails,0.00526288295710533,3.209238430557093e-17,0.00526288295710533
Logistic Regression,113,tag__investment,Tag: investment,0.005204452112954907,0.02328775440260491,0.002173697183215053
Logistic Regression,114,title__manager,Title term: manager,0.005107476147260889,0.005957181934959147,0.00036586505352871444
Logistic Regression,115,tag__web,Tag: web,0.0050268549238600664,0.010938243861747283,0.0018859278363731581
Logistic Regression,116,tag__full_stack,Tag: full-stack,0.004894726537575621,0.01910535089198324,0.002984589352180266
Logistic Regression,117,title__marketing,Title term: marketing,0.004856142280672637,0.021729213051055133,-0.0020282217162714083
Logistic Regression,118,title__engineer,Title term: engineer,0.004795358278989938,0.0018491751293584094,-0.00017399703479644216
Logistic Regression,119,title__specialist,Title term: specialist,0.00474836790626921,0.010017137615351543,-0.0020826175027496507
Logistic Regression,120,location__spain,Location: spain,0.00458076695039087,5.204170427930421e-18,0.00458076695039087
Logistic Regression,121,title__associate,Title term: associate,0.004038277425000196,0.019336806351262115,0.0009435227628505084
Logistic Regression,122,title__cloud,Title term: cloud,0.003991966470477664,0.019535248501254876,-0.0004475298733719351
Logistic Regression,123,title__ruby,Title term: ruby,0.003215486813607518,0.014288717114065062,-0.0013859856955204767
Logistic Regression,124,title__principal,Title term: principal,0.0029650972743301444,1.1275702593849246e-17,-0.0029650972743301444
Logistic Regression,125,title__representative,Title term: representative,0.002876476218120209,0.020135333526841482,0.0028764762181202083
Logistic Regression,126,title__success,Title term: success,0.0027737437612273203,0.01768828089686875,-0.0027737437612273194
Logistic Regression,127,title__staff,Title term: staff,0.0027170239845573543,0.012073688793614987,0.0011711310278264312
Logistic Regression,128,title__platform,Title term: platform,0.002585686857330938,0.018099808001316497,-0.0025856868573309374
Logistic Regression,129,location__poland,Location: poland,0.0024718693830422934,2.6020852139652106e-18,0.0024718693830422934
Logistic Regression,130,location__argentina,Location: argentina,0.0022097011551078486,0.03486849608925416,-0.0022097011551078486
Logistic Regression,131,tag__accounting,Tag: accounting,0.0021991847674319564,0.004988022082824556,0.000566800197791742
Logistic Regression,132,title__golang,Title term: golang,0.0021759190663917767,0.0038240874760156296,-0.0016757670535007708
Logistic Regression,133,tag__edu,Tag: edu,0.0020839589316421513,0.0035002058346554113,0.0001713782016153082
Logistic Regression,134,tag__excel,Tag: excel,0.0019726977547044468,0.006734262643585738,-0.00018333622255617413
Logistic Regression,135,title_chars_log,"Title length, log",0.0018625923703950381,0.0014691836862448652,-0.00014075857527442255
Logistic Regression,136,tag__ux,Tag: ux,0.0018159582054074013,0.004262830539240515,7.259817746962937e-19
Logistic Regression,137,location__netherlands,Location: netherlands,0.0017363118047444464,0.01575489696119742,0.0017363118047444464
Logistic Regression,138,title__business,Title term: business,0.0016860471484158777,0.008250908486512177,0.00018901873861164526
Logistic Regression,139,title__fullstack,Title term: fullstack,0.0014970950355022135,0.0038051695877323937,-0.001004761768793431
Logistic Regression,140,tag__educational,Tag: educational,0.0013530491753976671,0.004618948085222552,0.000125748064628036
Logistic Regression,141,tag__strategy,Tag: strategy,0.0013201576344277525,0.002295272021444226,-0.0004561255400293315
Logistic Regression,142,location__united_kingdom,Location: united kingdom,0.0010151956108830273,0.0038412539969916804,0.0006497863473272293
Logistic Regression,143,title__enterprise,Title term: enterprise,0.000857236194278646,0.006722612171325386,0.000857236194278646
Logistic Regression,144,title__intern,Title term: intern,0.0008360610638235093,0.002072980699856722,-0.000364561510388159
Logistic Regression,145,tag__reliability,Tag: reliability,0.0007599471902404551,0.0025315590943025836,-0.00017979823112944534
Logistic Regression,146,location__nigeria,Location: nigeria,0.0006152789120075434,0.009708937467649897,0.0006152789120075434
Logistic Regression,147,location__philippines,Location: philippines,0.0005991404903317718,0.009454277469039828,-0.0005991404903317718
Logistic Regression,148,title__react,Title term: react,0.00029680259098703246,0.0014554723781801475,-2.7279649906896712e-05
Logistic Regression,149,tag__healthcare,Tag: healthcare,0.00020891153228598855,0.00048580698537051416,-2.8539826815025705e-05
Logistic Regression,150,location__australia,Location: australia,5.6090571497509616e-18,7.703719777548943e-33,-5.6090571497509616e-18
Logistic Regression,151,location__gibraltar,Location: gibraltar,8.858261331177713e-19,1.925929944387236e-33,-8.858261331177713e-19
Logistic Regression,152,location__colombia,Location: colombia,8.359963664730984e-19,4.237045877651919e-33,-8.359963664730984e-19
Logistic Regression,153,location__ireland,Location: ireland,4.897720686459771e-19,1.6370404527291505e-33,-4.897720686459771e-19
Logistic Regression,154,location__singapore,Location: singapore,2.636426593795056e-19,2.407412430484045e-34,2.636426593795056e-19
Logistic Regression,155,location__france,Location: france,0.0,0.0,0.0
Logistic Regression,156,location__portugal,Location: portugal,0.0,0.0,0.0
Random Forest,1,posting_age_days,Posting age in days,0.07095093742128933,0.05666987332817918,0.005718877614898568
Random Forest,2,post_year,Posting year,0.04887675639304445,0.04084437415824185,0.0013517710952204915
Random Forest,3,tag__sales,Tag: sales,0.024591190627598458,0.028657469490303365,-0.0013926351817830033
Random Forest,4,tag_count,Number of tags,0.02269900175905685,0.015968871235399595,0.0006398043446354995
Random Forest,5,tag__engineer,Tag: engineer,0.020161209637590195,0.01420101729932489,-0.00036277539997823626
Random Forest,6,tag__non_tech,Tag: non tech,0.018198854205880584,0.025412428860987872,0.0016887797289074026
Random Forest,7,tag__marketing,Tag: marketing,0.017027862825935703,0.021349868580666297,0.001058779445280477
Random Forest,8,tag__javascript,Tag: javascript,0.01632523619876848,0.021175353611102538,0.0015657883484132362
Random Forest,9,tag__technical,Tag: technical,0.013456334337417159,0.012049068323037137,0.0005890637113413191
Random Forest,10,tag__support,Tag: support,0.012956244289617766,0.008811261279678415,0.002597650267178604
Random Forest,11,post_month,Posting month,0.011553865505396025,0.010386778165474217,-0.00017571570316821615
Random Forest,12,title__engineer,Title term: engineer,0.010615068693702738,0.008093661924415288,-6.652995720958319e-05
Random Forest,13,location_count,Number of location labels,0.010358228945067863,0.005961653588863855,-6.105518085067559e-05
Random Forest,14,description_chars_log,"Description length, log",0.00860717093664538,0.010346959930336321,-0.0002385458601053199
Random Forest,15,tag__video,Tag: video,0.008587155723137672,0.01448015108217605,0.0006188911456190082
Random Forest,16,tag__react,Tag: react,0.005877657106221482,0.009035529633403094,0.0005401148484689542
Random Forest,17,tag__engineering,Tag: engineering,0.005566908461845274,0.005658734604192237,0.0005609765725851165
Random Forest,18,tag__english,Tag: english,0.005305914158076868,0.011084707097431562,0.0005402789723647675
Random Forest,19,tag__senior,Tag: senior,0.005154986189793084,0.005400381317227067,-0.0004301159627349304
Random Forest,20,tag__saas,Tag: saas,0.004608354119156452,0.006100841169220295,0.00031710009799884847
Random Forest,21,tag__system,Tag: system,0.0045507143642424894,0.005103862303410264,9.857448438518587e-05
Random Forest,22,tag__design,Tag: design,0.00454533582731523,0.005912631832580629,-0.0004712257619930409
Random Forest,23,tag__cloud,Tag: cloud,0.004509684648149787,0.005538718604188373,-0.0010847804131351405
Random Forest,24,tag__management,Tag: management,0.00448314595241235,0.0035327658303111733,0.0004051367884336665
Random Forest,25,title_chars_log,"Title length, log",0.0034530450459252164,0.003034605213357839,0.0005275835637037786
Random Forest,26,tag__front_end,Tag: front end,0.003251026177777239,0.005573463113374896,0.0007767930642025634
Random Forest,27,tag__golang,Tag: golang,0.0030226005493549863,0.005661019732864045,0.00028047929515622095
Random Forest,28,tag__testing,Tag: testing,0.0028948882328051965,0.005278260666550509,0.0006854445243316711
Random Forest,29,tag__developer,Tag: developer,0.0027911318733571237,0.0033792452144351423,-0.00030119007368577965
Random Forest,30,tag__microsoft,Tag: microsoft,0.0027172778618899823,0.006367600575564851,5.613777582845472e-05
Random Forest,31,title__software,Title term: software,0.002513035133503749,0.0035020936924103382,0.0003035724217993386
Random Forest,32,title__senior,Title term: senior,0.0022903026082973397,0.002873728656279078,0.00025823917798127355
Random Forest,33,tag__content,Tag: content,0.002280744787360589,0.003498759892369293,0.0005756844466558005
Random Forest,34,tag__backend,Tag: backend,0.002190311565527824,0.0031830477633064728,0.0003885862297501718
Random Forest,35,tag__travel,Tag: travel,0.002091059130664059,0.004232141787613331,3.0058734803077057e-05
Random Forest,36,location__united_states,Location: united states,0.0020295824561009494,0.0020766891820214847,8.802814337452652e-05
Random Forest,37,tag__software,Tag: software,0.001980571476531369,0.0023498941304574195,0.00021093308076106603
Random Forest,38,title__data,Title term: data,0.0019755162146658407,0.005613105323318595,0.0006048514942634775
Random Forest,39,tag__lead,Tag: lead,0.001972665845717855,0.0019674179503756696,0.0002691280064877848
Random Forest,40,title__customer,Title term: customer,0.0019244646669337243,0.00628369755753668,0.00010795360367215785
Random Forest,41,tag__node,Tag: node,0.001747730177499207,0.0039040189439787983,0.0005083421063521353
Random Forest,42,tag__python,Tag: python,0.0017437438789796988,0.0033688810002368637,-0.00044128417498450753
Random Forest,43,title__developer,Title term: developer,0.0017259284811971657,0.0023818315971518567,0.0002219271079320945
Random Forest,44,tag__security,Tag: security,0.0017178512150910587,0.0020932276949285544,-0.00033178579395174964
Random Forest,45,tag__ruby,Tag: ruby,0.0017175638307028785,0.0043995324684662105,-0.000714032233199886
Random Forest,46,tag__health,Tag: health,0.001685449157626721,0.002358704651750085,0.00011278120047237538
Random Forest,47,tag__quality_assurance,Tag: quality assurance,0.001644947353383859,0.0036209093595765828,0.00011430250046293739
Random Forest,48,tag__mobile,Tag: mobile,0.0016341577674117767,0.003477199784233394,5.93795251084324e-06
Random Forest,49,title__backend,Title term: backend,0.0015759843388059229,0.0028038562376183195,0.00038293264812773415
Random Forest,50,tag__operational,Tag: operational,0.001522210716279376,0.002251338325884402,-0.00027828282141560424
Random Forest,51,title__product,Title term: product,0.001508026400035497,0.0032337832323770846,-0.00013193753449633822
Random Forest,52,title__sales,Title term: sales,0.0015016448434486945,0.003531040612598893,0.0001586021186240194
Random Forest,53,title__frontend,Title term: frontend,0.0015007796734758329,0.004371554999628577,0.00032274301125393936
Random Forest,54,title__support,Title term: support,0.001479212481055407,0.006500667433553132,-0.0004094583847977456
Random Forest,55,tag__edu,Tag: edu,0.0014296867850243033,0.0030306893427335772,0.0003184091626905948
Random Forest,56,tag__devops,Tag: devops,0.0014270371376685024,0.0031371356432318906,-0.0002911127519232875
Random Forest,57,tag__web,Tag: web,0.0014121630555198543,0.002186241063712848,5.794611453054896e-05
Random Forest,58,tag__growth,Tag: growth,0.001307021443124418,0.0015763189547836883,-0.0002420539608661037
Random Forest,59,title__engineering,Title term: engineering,0.0012624651509216287,0.0032137332139974607,-7.78170322967477e-05
Random Forest,60,tag__financial,Tag: financial,0.001255704001194439,0.0015576423728863146,-0.0001959818895805957
Random Forest,61,title__manager,Title term: manager,0.0012543237944786045,0.001631073506972742,-8.806086878250715e-05
Random Forest,62,tag__legal,Tag: legal,0.0012186796945474186,0.0026614890902519122,0.00010230548676016893
Random Forest,63,tag__medical,Tag: medical,0.0011891384336291757,0.00233142558362032,-0.0005061489897816487
Random Forest,64,title__lead,Title term: lead,0.0011673184875058554,0.0024647814683756712,4.841659294048593e-05
Random Forest,65,title__marketing,Title term: marketing,0.0010579755808598984,0.0022789919140789633,0.0003574647891313964
Random Forest,66,tag__code,Tag: code,0.001051009555404654,0.0015646224325459317,0.00036670492367682413
Random Forest,67,tag__operations,Tag: operations,0.0009975523354807771,0.0015474316687273204,0.00012257470277091107
Random Forest,68,tag__leader,Tag: leader,0.0009548901300328283,0.0014867295549818179,-7.23061662602614e-05
Random Forest,69,tag__recruiter,Tag: recruiter,0.0009453132927924225,0.002790700329562569,-9.079726457589521e-05
Random Forest,70,tag__strategy,Tag: strategy,0.0009410498566035776,0.0011959307259856117,0.00014540223492439947
Random Forest,71,tag__linux,Tag: linux,0.0009354308720515459,0.0027637395231432512,-1.398082238443163e-05
Random Forest,72,title__analyst,Title term: analyst,0.0008920842039008517,0.001992080972141027,0.0003434065984207868
Random Forest,73,tag__training,Tag: training,0.0008846579755865219,0.0015486419290612165,-6.377153883216579e-05
Random Forest,74,tag__crypto,Tag: crypto,0.0008725180370730172,0.0026910529579111855,0.00021417592233704492
Random Forest,75,title__react,Title term: react,0.000838538325165016,0.0028152018641430317,0.0002815208910046933
Random Forest,76,tag__manager,Tag: manager,0.0008306770677733184,0.0013342233134379204,4.716504267629378e-05
Random Forest,77,title__devops,Title term: devops,0.0008297477448397963,0.0019985665341831233,-0.0003614513307203604
Random Forest,78,tag__android,Tag: android,0.0008243619316421327,0.001980217438034117,0.00023885772167284993
Random Forest,79,title__designer,Title term: designer,0.0007970747294592144,0.002071405532400439,-6.776747283538344e-05
Random Forest,80,tag__executive,Tag: executive,0.0007215861792551661,0.001449806564559921,4.9011452761044573e-05
Random Forest,81,title__scientist,Title term: scientist,0.0007138025350122226,0.00310462071748859,0.00022079765078877447
Random Forest,82,title__architect,Title term: architect,0.0007080777076008853,0.002095662075153274,-5.8658338981478344e-05
Random Forest,83,title__web,Title term: web,0.0006795528363619578,0.0025868070271470307,0.0001231357500463228
Random Forest,84,tag__analyst,Tag: analyst,0.0006379741301840325,0.001435734615972931,0.0002466672008468388
Random Forest,85,tag__junior,Tag: junior,0.0006373382292906134,0.0009550076348884679,0.0003275506357229108
Random Forest,86,tag__full_time,Tag: full-time,0.0005649919389527661,0.0011694048324145327,-3.2271129635855866e-05
Random Forest,87,title__account,Title term: account,0.000547552700413541,0.0014891818693866259,4.0175513708140534e-05
Random Forest,88,tag__salesforce,Tag: salesforce,0.0005246030062265976,0.001401155524465168,7.621311858503078e-05
Random Forest,89,title__development,Title term: development,0.0005224981525439193,0.001502644385859617,8.749270476250704e-05
Random Forest,90,tag__go,Tag: go,0.0005128586133290355,0.0009980745042367139,-5.622811075452629e-05
Random Forest,91,tag__analytics,Tag: analytics,0.0004956210274217407,0.0009826892870400334,1.7724470346501003e-05
Random Forest,92,tag__finance,Tag: finance,0.00048638794917401496,0.0006257666864302369,0.00020507940246172786
Random Forest,93,tag__excel,Tag: excel,0.00048158060305019003,0.0009286679625097901,0.00019347314206787252
Random Forest,94,location__brazil,Location: brazil,0.00044040521255438587,0.0018292037295695991,-4.717167890578283e-05
Random Forest,95,tag__test,Tag: test,0.0004277331503884954,0.0009317985234811235,6.979990765289435e-05
Random Forest,96,tag__api,Tag: api,0.0004202391452452884,0.00103400639955109,0.0001237363800701288
Random Forest,97,tag__accounting,Tag: accounting,0.0004159443836027341,0.0013092007307021918,1.5236718754392795e-05
Random Forest,98,title__front,Title term: front,0.0004156145149128182,0.000987689485429522,0.0002448096535178227
Random Forest,99,tag__git,Tag: git,0.00040501953434970327,0.0014069402991326782,4.765254132062348e-05
Random Forest,100,tag__java,Tag: java,0.00039717492228896116,0.0017284943759488939,-0.00021009207643457947
Random Forest,101,title__specialist,Title term: specialist,0.000392009120894027,0.0007808976768476604,0.00019878974342162867
Random Forest,102,title__representative,Title term: representative,0.000346479563591458,0.001067160510057953,6.135587462969825e-05
Random Forest,103,title__director,Title term: director,0.00034141474100042406,0.0007204943107441484,-8.246695638461304e-05
Random Forest,104,tag__recruiting,Tag: recruiting,0.0003203337289613569,0.0006254512351782893,0.00010928543584104862
Random Forest,105,title__content,Title term: content,0.0003166002733878516,0.0009313051813926274,0.00010075190365732417
Random Forest,106,title__stack,Title term: stack,0.00030630302063840853,0.0008747052678181548,-4.548953136268822e-05
Random Forest,107,title__full,Title term: full,0.000295613193760699,0.0006635035561176689,1.4255034330332065e-06
Random Forest,108,tag__ux,Tag: ux,0.00028950522246492947,0.0008980623597795536,2.614956271846641e-06
Random Forest,109,tag__healthcare,Tag: healthcare,0.0002792691735610268,0.0005939168396269986,-5.820451049640793e-05
Random Forest,110,tag__director,Tag: director,0.00027571173824241603,0.0005663898810349203,5.030134419501118e-05
Random Forest,111,title__success,Title term: success,0.0002754083059738963,0.000886901851283803,2.5836938040341154e-05
Random Forest,112,location__united_kingdom,Location: united kingdom,0.00025132931947363516,0.0007589289073616312,-6.171603384061732e-05
Random Forest,113,location__india,Location: india,0.0002505019203435605,0.0009043257702104068,2.4569930979424057e-05
Random Forest,114,tag__recruitment,Tag: recruitment,0.00024946994741286923,0.0005801573407244721,4.355085811731172e-05
Random Forest,115,title__security,Title term: security,0.00023365655877461485,0.0007151807917909244,-8.536878807769627e-05
Random Forest,116,title__associate,Title term: associate,0.00021437873913825628,0.0007216840419017235,-3.382352732555827e-05
Random Forest,117,tag__fintech,Tag: fintech,0.00021336453279571392,0.0005879238793588512,3.184369765260667e-05
Random Forest,118,title__executive,Title term: executive,0.000212683869875279,0.00029595903785628683,0.00011611309318871489
